"cl","auc"
"BT112",10.268
"BT164",9.4239
"COLO800",15.391
"DKMG",8.4449
"GP2D",10.603
"HCC38",10.623
"IALM",5.3683
"JHOM1",12.514
"JHUEM7",10.173
"JL1",12.203
"KYSE450",11.191
"LC1SQSF",14.474
"RCM1",12.789
"SNU685",7.1724
"VMRCLCD",8.6787
"BT224",14.871
"BT549",8.7806
"HCC202",11.015
"HSTS",5.0807
"K029AX",14.87
"KRIJ",6.6295
"KYSE520",14.519
"NCIH1623",14.211
"NCIH716",12.514
"OE19",14.808
"OE33",14.663
"PK1",13.283
"PK45H",11.926
"PSTS",14.834
"RERFLCAD2",11.056
"U-CH1",13.228
"697",3.0293
"A3KAW",9.4328
"BL41",11.646
"CA46",2.4243
"DU4475",10.799
"EB1",6.7624
"EOL1",4.2999
"GA10",2.4685
"MOLT3",7.4587
"NAMALWA",6.8297
"OPM2",3.6728
"PFEIFFER",2.6488
"SUPM2",3.1088
"TOLEDO",11.03
"COLO829",12.297
"DANG",14.383
"EJM",8.9516
"GI1",8.4779
"GRANTA519",7.155
"HCC1500",10.894
"IGR1",14.898
"NCIH841",7.9838
"OCILY10",14.672
"OCILY19",10.232
"OCILY3",6.8799
"U118MG",10.495
"CORL88",14.923
"LU65",12.565
"NCIH2081",12.163
"NCIH2141",6.9631
"A172",10.587
"COV644",10.312
"IM95",14.839
"J82",14.904
"NCIH23",6.0287
"RD",9.2464
"SKUT1",7.5212
"T98G",14.242
"BECKER",10.841
"HS578T",12.895
"HS611T",6.253
"JHH4",11.455
"KARPAS422",12.811
"KMRC1",9.6807
"LP1",11.199
"MDAMB468",11.339
"SH4",12.09
"SKHEP1",5.9981
"SUPHD1",5.8864
"AN3CA",11.968
"ACHN",7.1934
"CMK",11.74
"EN",14.724
"KASUMI1",11.641
"NCIH2342",13.177
"OV90",14.078
"RERFLCMS",11.774
"RPMI6666",13.956
"A253",13.727
"BC3C",14.736
"C32",13.36
"CAL851",13.706
"COLO684",8.2446
"HS746T",9.8644
"HSC2",7.127
"HT144",11.124
"VMRCRCZ",10.346
"MESSA",14.809
"NCIH1105",12.935
"NCIH322",14.965
"OAW42",12.695
"PSN1",9.8532
"T24",9.61
"TE441T",7.7085
"TT2609C02",11.242
"CAKI1",6.3969
"CORL105",9.2921
"DMS273",8.3712
"ESS1",9.8441
"G402",3.4943
"HOS",10.981
"HS294T",8.5005
"JHH6",11.775
"MFE319",11.218
"MOLP8",8.9684
"NCIH1339",11.424
"OV7",2.9334
"PANC0327",11.475
"PLCPRF5",12.284
"SCC9",10.906
"SKLMS1",7.6768
"SKMEL2",13.986
"JHH2",5.9559
"HLF",12.779
"JHH1",9.6264
"OV56",10.748
"PANC0203",12.053
"SNU475",13.345
"TOV21G",4.9366
"647V",12.252
"8MGBA",10.042
"A101D",11.798
"A2058",15.959
"CAKI2",11.399
"CAL27",11.912
"COLO792",13.927
"FTC238",7.9007
"GMS10",7.1279
"GOS3",7.6849
"HMCB",14.988
"HUH1",15.926
"IGR39",7.4168
"ISTMES1",13.462
"M059K",6.8836
"PATU8988T",14.812
"SCABER",9.1663
"SKNSH",13.051
"TM31",7.2861
"YH13",7.7433
"A673",6.0813
"FADU",14.764
"HCC4006",6.333
"HS683",11.517
"HS729",9.7799
"HT1080",4.9886
"JHH5",6.4857
"JHUEM1",11.601
"MEWO",14.785
"MIAPACA2",7.1396
"NCCSTCK140",8.9483
"SKMES1",13.096
"SKNDZ",1.9142
"SW579",10.578
"WM115",9.0324
"WM2664",9.342
"BT20",5.9192
"CAL54",4.9847
"CAPAN1",13.715
"CHP212",11.029
"HS895T",9.8735
"KATOIII",14.551
"KMRC2",10.332
"KNS42",10.212
"NCIH1693",6.2011
"PANC0403",12.19
"PECAPJ49",15.255
"SKMEL24",11.686
"SKNAS",10.803
"TE617T",11.213
"YKG1",12.841
"BL70",7.6144
"CORL95",10.008
"D283MED",5.2598
"HL60",11.727
"HUPT3",10.966
"IMR32",6.3707
"KO52",5.8218
"MEC1",6.7564
"NCIH1092",13.205
"NCIH2196",9.3462
"NH6",8.2123
"OCIM1",10.468
"SIGM5",10.919
"TF1",5.5146
"UACC812",10.78
"786O",7.585
"A4FUK",9.5154
"HCT15",14.785
"HEL9217",6.5081
"JHOS2",6.0305
"K562",14.523
"NCIH1341",5.0389
"NCIH1568",6.8981
"NCIH1703",5.717
"NCIH838",7.8091
"SKNFI",13.632
"TE11",14.438
"DAUDI",2.5808
"HH",5.8959
"HT1197",12.649
"LUDLU1",14.73
"NCIH146",13.894
"NCIH1915",12.969
"NCIH1944",14.635
"NCIH520",14.382
"NCIH522",6.3039
"PECAPJ41CLONED2",14.65
"PECAPJ15",14.804
"RVH421",10.854
"SET2",5.743
"SNU16",6.2249
"TOV112D",11.068
"DB",7.5304
"HCC1419",12.327
"HCC56",11.358
"HS839T",7.6748
"NCIH2110",13.27
"PECAPJ34CLONEC12",14.72
"SNU387",10.72
"SNU503",13.981
"SNU869",10.709
"SNUC1",10.261
"SW1990",10.143
