"cl","auc"
"MDAMB361",11.365
"MFE296",4.9491
"NUDHL1",4.2793
"SNB75",8.0847
"SNU216",6.1304
"BICR16",7.9685
"F36P",3.1593
"JJN3",1.9762
"KASUMI2",1.5013
"KG1C",12.642
"KMS20",3.2935
"KYSE150",9.7176
"OCIAML5",1.9779
"PANC0813",6.8768
"SNU601",5.9749
"T47D",11.828
"T84",7.1084
"TE14",3.8412
"U266B1",2.108
"42MGBA",8.4573
"BT139",11.231
"BT159",8.1595
"BT187",10.797
"BT228",10.047
"BT231",4.2532
"BT239",10.353
"BT474",7.9037
"COV434",7.8044
"G292CLONEA141B1",6.8002
"M07E",4.2907
"NCIH1651",8.717
"A204",5.9491
"AML193",7.7156
"HGC27",6.0461
"HS578BST",12.465
"MALME3M",14.715
"HS688AT",14.077
"HUT78",3.9835
"NCIH1793",10.38
"SCC4",5.1759
"SKES1",1.9589
"HS888T",10.598
"MDAMB453",9.0187
"SAOS2",2.7833
"UBLC1",5.0144
"BT248",11.485
"NCIH1694",4.854
"SEM",1.0918
"HS822T",17.307
"HS940T",12.813
"KMBC2",8.2899
"RCC10RGB",13.776
"SKNBE2",7.1187
"AU565",5.9769
"COLO320",10.756
"PANC1005",7.4382
"BT131",6.6178
"BT147",9.0815
"BT172",7.9167
"BT216",10.137
"BT232",10.912
"BT245",7.4685
"BT271",7.9559
"BT286",6.7803
"BT320",14.337
"BT328",11.825
"BT330",8.7852
"BT333",10.033
"BT340",11.357
"BT359",7.2829
"BT416",2.6822
"BT422",9.6909
"BT428",6.6835
"BT440",10.001
"BT444",11.352
"BT482",11.311
"BT498",13.399
"BT504",4.4821
"2004",8.6898
"BT16",7.3858
"SW982",9.3258
"SYO1",7.3798
"TM87-16",10.704
"TTC709",7.1074
"YAMATO",15.217
