path:hsa00062,HACD3
path:hsa00062,ELOVL2
path:hsa00062,PPT1
path:hsa00062,ELOVL5
path:hsa00062,ACOT1
path:hsa00062,ELOVL1
path:hsa00062,ELOVL4
path:hsa00062,ELOVL6
path:hsa00062,ELOVL7
path:hsa00062,ELOVL3
path:hsa00062,HACD1
path:hsa00062,PPT2
path:hsa00062,TECR
path:hsa00071,ACAA2
path:hsa00071,ECI2
path:hsa00071,ADH1A
path:hsa00071,ADH1B
path:hsa00071,ADH1C
path:hsa00071,CPT1C
path:hsa00071,ADH4
path:hsa00071,ADH5
path:hsa00071,ADH6
path:hsa00071,ADH7
path:hsa00071,CPT1A
path:hsa00071,CPT1B
path:hsa00071,CPT2
path:hsa00071,CYP4A11
path:hsa00071,ECI1
path:hsa00071,ECHS1
path:hsa00071,EHHADH
path:hsa00071,ALDH2
path:hsa00071,ACSL1
path:hsa00071,ACSL3
path:hsa00071,ACSL4
path:hsa00071,ALDH1B1
path:hsa00071,ALDH9A1
path:hsa00071,ALDH3A2
path:hsa00071,ACSBG1
path:hsa00071,ACSL6
path:hsa00071,GCDH
path:hsa00071,CYP4A22
path:hsa00071,ACAA1
path:hsa00071,HADHA
path:hsa00071,HADHB
path:hsa00071,HADH
path:hsa00071,ACADL
path:hsa00071,ACADM
path:hsa00071,ACADS
path:hsa00071,ACADSB
path:hsa00071,ACADVL
path:hsa00071,ACAT1
path:hsa00071,ACAT2
path:hsa00071,ALDH7A1
path:hsa00071,ACOX1
path:hsa00071,ACSL5
path:hsa00071,ACSBG2
path:hsa00071,ACOX3
path:hsa00072,HMGCL
path:hsa00072,HMGCS1
path:hsa00072,HMGCS2
path:hsa00072,ACAT1
path:hsa00072,ACAT2
path:hsa00072,OXCT1
path:hsa00072,HMGCLL1
path:hsa00072,BDH2
path:hsa00072,BDH1
path:hsa00072,OXCT2
path:hsa00100,CEL
path:hsa00100,EBP
path:hsa00100,CYP2R1
path:hsa00100,CYP24A1
path:hsa00100,CYP27B1
path:hsa00100,CYP51A1
path:hsa00100,DHCR7
path:hsa00100,DHCR24
path:hsa00100,FDFT1
path:hsa00100,LBR
path:hsa00100,LIPA
path:hsa00100,LSS
path:hsa00100,NSDHL
path:hsa00100,HSD17B7
path:hsa00100,MSMO1
path:hsa00100,SC5D
path:hsa00100,SOAT1
path:hsa00100,SQLE
path:hsa00100,TM7SF2
path:hsa00100,SOAT2
path:hsa00120,ACOT8
path:hsa00120,CYP46A1
path:hsa00120,SLC27A5
path:hsa00120,AKR1C4
path:hsa00120,CYP7A1
path:hsa00120,CYP8B1
path:hsa00120,CYP27A1
path:hsa00120,AMACR
path:hsa00120,HSD17B4
path:hsa00120,CYP39A1
path:hsa00120,BAAT
path:hsa00120,SCP2
path:hsa00120,AKR1D1
path:hsa00120,HSD3B7
path:hsa00120,ACOX2
path:hsa00120,CH25H
path:hsa00120,CYP7B1
path:hsa00130,COQ7
path:hsa00130,VKORC1L1
path:hsa00130,NQO1
path:hsa00130,GGCX
path:hsa00130,COQ2
path:hsa00130,HPD
path:hsa00130,COQ6
path:hsa00130,COQ3
path:hsa00130,TAT
path:hsa00130,VKORC1
path:hsa00130,COQ5
path:hsa00140,CYP3A7-CYP3A51P
path:hsa00140,UGT2B11
path:hsa00140,UGT2A1
path:hsa00140,AKR1C4
path:hsa00140,COMT
path:hsa00140,CYP1A1
path:hsa00140,CYP1A2
path:hsa00140,CYP1B1
path:hsa00140,CYP3A7
path:hsa00140,CYP2E1
path:hsa00140,CYP3A4
path:hsa00140,CYP3A5
path:hsa00140,CYP7A1
path:hsa00140,CYP11A1
path:hsa00140,CYP11B1
path:hsa00140,CYP11B2
path:hsa00140,CYP17A1
path:hsa00140,CYP19A1
path:hsa00140,CYP21A2
path:hsa00140,AKR1C1
path:hsa00140,AKR1C2
path:hsa00140,LRTOMT
path:hsa00140,HSD3B1
path:hsa00140,HSD3B2
path:hsa00140,HSD11B1
path:hsa00140,HSD11B2
path:hsa00140,HSD17B1
path:hsa00140,HSD17B3
path:hsa00140,HSD17B2
path:hsa00140,STS
path:hsa00140,HSD17B12
path:hsa00140,HSD17B7
path:hsa00140,UGT2B28
path:hsa00140,UGT1A10
